Schlüsselnummer;Stadt;PLZ;Bundesland;Landkreis
11000;Berlin;10178; Berlin; Berlin
02000;Hamburg;20038; Hamburg; Hamburg
09162;München;80331;Freistaat Bayern; Ingolstadt
05315;Köln;50667;Nordrhein-Westfalen; Bonn
06412;Frankfurt am Main;60311;Hessen; Darmstadt
08111;Stuttgart;70173;Baden-Württemberg; Stuttgart
05111;Düsseldorf;40213;Nordrhein-Westfalen; Düsseldorf
05913;Dortmund;44135;Nordrhein-Westfalen; Bochum
05113;Essen;45127;Nordrhein-Westfalen; Duisburg
04011;Bremen;28195;Freie Hansestadt Bremen; Bremen
03241;Hannover;30159;Niedersachsen;Hannover
14713;Leipzig;04109;Freistaat Sachsen; Leipzig
14612;Dresden;01067;Freistaat Sachsen; Dresden
09564;Nürnberg;90403;Freistaat Bayern; Fürth
05112;Duisburg;47051;Nordrhein-Westfalen; Düsseldorf
05911;Bochum;44787;Nordrhein-Westfalen; Arnsberg
05124;Wuppertal;42275;Nordrhein-Westfalen; Solingen
05711;Bielefeld;33602;Nordrhein-Westfalen; Detmold
05314;Bonn;53111;Nordrhein-Westfalen; Aachen
08222;Mannheim;68159;Baden-Württemberg; Heidelberg
08212;Karlsruhe;76133;Baden-Württemberg; Baden-Baden
06414;Wiesbaden;65183;Hessen; Offenbach am Main
05515;Münster;48143;Nordrhein-Westfalen; Gelsenkirchen
09761;Augsburg;86150;Freistaat Bayern; Schwaben
05513;Gelsenkirchen;45879;Nordrhein-Westfalen; Bottrop
05334;Aachen;52062;Nordrhein-Westfalen; Leverkusen
05116;Mönchengladbach;41061;Nordrhein-Westfalen; Krefeld
03101;Braunschweig;38100;Niedersachsen; Niedersachsen
14511;Chemnitz;09111;Freistaat Sachsen; Chemnitz
01002;Kiel;24103;Schleswig-Holstein; Flensburg
05114;Krefeld;47803;Nordrhein-Westfalen; Essen
15002;Halle-Saale;06108;Sachsen-Anhalt; Dessau-Roßlau
15003;Magdeburg;39104;Sachsen-Anhalt; Halle
08311;Freiburg im Breisgau;79098;Baden-Württemberg; Freiburg
05119;Oberhausen;46045;Nordrhein-Westfalen; Mülheim an der Ruhr
01003;Lübeck;23539;Schleswig-Holstein; Kiel
16051;Erfurt;99084;Freistaat Thüringen; Thüringen
13003;Rostock;18055;Mecklenburg-Vorpommern; Neubrandenburg
07315;Mainz;55116;Rheinland-Pfalz; Ludwigshafen am Rhein
06611;Kassel;34117;Hessen; Kassel
05914;Hagen;58095;Nordrhein-Westfalen; Dortmund
05915;Hamm;59065;Nordrhein-Westfalen; Hagen
10041;Saarbrücken;66111;Saarland; Regionalverband Saarbrücken
05117;Mülheim an der Ruhr;45468;Nordrhein-Westfalen; Mönchengladbach
